us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ cat regional-global-daily-latest.csv
,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
101,Believer,"Imagine Dragons",930881,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Ayy Macarena",Tyga,930323,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
103,UGH!,BTS,930226,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W
104,"CITY OF ANGELS",24kGoldn,925159,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
105,"Whine Up","Nicky Jam",923794,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
106,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,923200,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
107,Sucker,"Jonas Brothers",917917,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
108,"Old Me","5 Seconds of Summer",917309,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
109,Girl,"Myke Towers",917223,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
110,"Without Me",Halsey,914137,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
111,Bruises,"Lewis Capaldi",908933,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
112,"Louder than bombs",BTS,908766,https://open.spotify.com/track/3op7HNwLli54MBjFGzIlZO
113,Blanco,"J Balvin",896207,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
114,Wow.,"Post Malone",892418,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
115,"00:00 (Zero O’Clock)",BTS,891601,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
116,"Bohemian Rhapsody - 2011 Mix",Queen,891030,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
117,"ocean eyes","Billie Eilish",886777,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
118,Falling,"Harry Styles",882629,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
119,"Shape of You","Ed Sheeran",880335,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,"Say You Won't Let Go","James Arthur",877916,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
121,"Bellaquita - Remix",Dalex,876873,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
122,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",873406,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
123,Definitivamente,"Daddy Yankee",864895,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
124,Matrix,"Apache 207",861518,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
125,Ransom,"Lil Tecca",861265,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
126,"Lights Up","Harry Styles",860584,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
127,"Get You The Moon (feat. Snøw)",Kina,856208,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
128,"Adicto (with Anuel AA & Ozuna)",Tainy,850867,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
129,"Money In The Grave (Drake ft. Rick Ross)",Drake,848921,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
130,Robbery,"Juice WRLD",845197,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
131,"Dancing With A Stranger (with Normani)","Sam Smith",844885,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
132,"Good as Hell (feat. Ariana Grande)",Lizzo,840345,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
133,Aventura,Lunay,839738,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
134,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,835846,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
135,"SICKO MODE","Travis Scott",827954,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
136,VIBEZ,DaBaby,823379,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
137,Friends,BTS,817643,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
138,Maniac,"Conan Gray",816240,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
139,"No Judgement","Niall Horan",811262,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
140,"We are Bulletproof : the Eternal",BTS,810370,https://open.spotify.com/track/44WLOqH7QayQOQdeUHeKUK
141,"Eastside (with Halsey & Khalid)","benny blanco",807302,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
142,"me & ur ghost",blackbear,807144,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
143,July,"Noah Cyrus",806993,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
144,SAD!,XXXTENTACION,803803,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
145,"Que Tire Pa Lante","Daddy Yankee",802796,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
146,Perfect,"Ed Sheeran",802681,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
